"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3179.46/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xd5b6257962b03226e79d5e77f5149debaa3b28ee0de314098f6eefe9856f14ea","12936683","1627780538","2021-08-01 01:15:38","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.2","635.892","0.004539886","14.43438594156","2556.41","","","Atomic Match_",""
"0x206178270a9b49b825bf822a858b5aaae18ba46af390d9c7a2fd3e65aebc02e8","12936725","1627781224","2021-08-01 01:27:04","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x5cbfbadc8e4fbcc9d9f9d82c1d1022e999cba36c","","0","0","0","0.001300684","4.13547275064","2556.41","","","Set Approval For All",""
"0xfecda201f1ba4a36ee4e626c0557fe4f2924a50242535d25543d532e8a9bda95","12939763","1627823063","2021-08-01 13:04:23","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.001948076","6.19382971896","2556.41","","","Cancel Order_",""
"0x3b7f5da97781c3db3a554fce117edaa7ee8b45759a0e7d4122203e7a0609562c","12939771","1627823130","2021-08-01 13:05:30","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.00187315","5.955605499","2556.41","","","Cancel Order_",""
"0x5dce264e62d74833f4dc80abb729e376eed73d8110bb82df753a4e79ef3b9ca3","12939781","1627823200","2021-08-01 13:06:40","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.001723298","5.47915705908","2556.41","","","Cancel Order_",""
"0x912701b08c7322a16b5cddf523d65c6c7d6888cf5488b938e13b2c5ee187f4a3","12939958","1627825281","2021-08-01 13:41:21","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.08","254.3568","0.00413806","13.1567962476","2556.41","","","Atomic Match_",""
"0xbf111f5c9014947697f7f408daa270e96aee2ae0c03acf1a8289675ae8397ab7","12947230","1627924858","2021-08-02 17:20:58","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","2.1","6676.866","0.00801666","25.4886498036","2608.44","","","Atomic Match_",""
"0x4ed97ac4230c9b6c694f0a24e86d7c88b69dde53605de9c014292a2e17fd0a4d","12954284","1628020110","2021-08-03 19:48:30","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.008191332","26.04401244072","2508.21","","","Atomic Match_",""
"0x2bba3f543760fd8d9de4432f4ea7e6ad9da5472d3dc1d581e9d37e8b2f48d28b","12954294","1628020267","2021-08-03 19:51:07","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.00635596","20.2085205816","2508.21","","","Atomic Match_",""
"0x11222c3560365c877750993b5e38fb3291f12460f9523c406439f7339b154f5a","12955276","1628033654","2021-08-03 23:34:14","0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.1499","476.601054","0.005534334310561281","17.5961945670572","2508.21","","","Atomic Match_",""
